model,scenario,env,variant,sample,n_iteration_dirs,n_failed_dirs,n_complete_points,max_folder_index,reached_baseline,baseline_goodput_rps,final_goodput_rps,max_goodput_rps,first_nonzero_goodput_rps,first_nonzero_iteration_index,code_refinement_steps,spec_refinement_steps,improvement_ratio,gain_first_nonzero,recovered_from_dead_baseline,total_llm_cost_usd
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,temp0.2-openapi-high_performance,0,11,1,10,10,True,11661.8,34366.6,35267.0,11661.8,0.0,7,2,3.024,3.024,False,7.8617
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,6176.4,0.0,10436.2,6176.4,0.0,4,6,1.690,1.690,False,6.1467
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,8325.0,0.0,25327.3,8325.0,0.0,4,6,3.042,3.042,False,5.7549
anthropic-claude-opus-4-8,ClickCount,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,958.2,9324.9,12531.9,958.2,0.0,9,1,13.079,13.079,False,7.1547
anthropic-claude-opus-4-8,ClickCount,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,0.0,0.0,,,6,4,,,False,4.7635
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,2748.4,2916.9,986.3,1.0,7,3,,2.957,True,8.9231
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,20420.3,23016.2,13531.3,1.0,4,6,,1.701,True,4.7301
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,0.0,9620.6,8994.5,1.0,3,7,,1.070,True,5.0584
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,7820.5,15565.2,15565.2,7820.5,0.0,5,5,1.990,1.990,False,5.7748
anthropic-claude-opus-4-8,Petstore,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,2369.8,36630.5,38420.0,2369.8,0.0,3,7,16.212,16.212,False,5.9344
anthropic-claude-opus-4-8,Petstore,Python-Flask,temp0.2-openapi-high_performance,0,11,2,9,10,True,0.0,3491.3,4053.0,3862.8,4.0,3,5,,1.049,True,6.1870
anthropic-claude-opus-4-8,Petstore,Rust-Actix,temp0.2-openapi-high_performance,0,11,1,10,10,True,0.0,286.7,286.7,286.7,10.0,9,0,,1.000,True,9.7266
anthropic-claude-opus-4-8,Recipes,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,5522.2,62449.2,62449.2,5522.2,0.0,5,5,11.309,11.309,False,7.5300
anthropic-claude-opus-4-8,Recipes,Python-Flask,temp0.2-openapi-high_performance,0,11,2,9,10,True,1868.1,16419.3,16419.3,1868.1,0.0,5,3,8.789,8.789,False,6.8046
anthropic-claude-opus-4-8,Recipes,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,5276.9,30856.3,30856.3,5276.9,0.0,5,5,5.847,5.847,False,5.6913
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,22077.5,22077.5,7383.1,1.0,5,5,,2.990,True,6.4410
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,temp0.2-openapi-high_performance,0,11,1,10,10,True,5543.5,12749.0,12749.0,5543.5,0.0,4,5,2.300,2.300,False,5.9678
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,7527.2,15709.3,15995.6,7527.2,0.0,4,6,2.125,2.125,False,6.0021
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,temp0.2-openapi-high_performance,0,11,1,10,10,True,0.0,25617.6,26125.5,20666.7,3.0,7,2,,1.264,True,5.6940
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,12539.2,15425.8,1746.0,1.0,4,6,,8.835,True,4.8499
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,1947.1,10827.7,11263.4,1947.1,0.0,5,5,5.785,5.785,False,6.6156
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,22468.9,63159.1,63159.1,22468.9,0.0,5,5,2.811,2.811,False,5.9642
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Python-Flask,temp0.2-openapi-high_performance,0,11,3,8,10,True,16274.5,8971.6,21096.6,16274.5,0.0,2,5,1.296,1.296,False,4.6148
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Rust-Actix,temp0.2-openapi-high_performance,0,11,1,10,10,True,25875.2,0.0,30430.8,25875.2,0.0,4,5,1.176,1.176,False,5.4311
openai-gpt-5.5-2026-04-23,ClickCount,Go-net-http,temp0.2-openapi-high_performance,0,11,1,10,10,True,5725.9,97137.7,97137.7,5725.9,0.0,7,2,16.965,16.965,False,6.0322
openai-gpt-5.5-2026-04-23,ClickCount,Python-Flask,temp0.2-openapi-high_performance,0,11,1,10,10,True,0.0,26603.7,31600.7,20132.3,1.0,3,6,,1.570,True,4.6633
