model,scenario,env,iteration_folder,iteration_index,refinement_kind,phase,failure_kind
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,iteration-009-code-failed,9,code,02-code,functional_test
anthropic-claude-opus-4-8,Petstore,Python-Flask,iteration-005-spec-failed,5,spec,04-deploy,timeout
anthropic-claude-opus-4-8,Petstore,Python-Flask,iteration-006-spec-failed,6,spec,04-deploy,timeout
anthropic-claude-opus-4-8,Petstore,Rust-Actix,iteration-003-code-failed,3,code,02-code,functional_test
anthropic-claude-opus-4-8,Recipes,Python-Flask,iteration-005-spec-failed,5,spec,04-deploy,unknown
anthropic-claude-opus-4-8,Recipes,Python-Flask,iteration-006-spec-failed,6,spec,04-deploy,unknown
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,iteration-004-code-failed,4,code,02-code,functional_test
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,iteration-001-spec-failed,1,spec,03-spec,spec_validation
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Python-Flask,iteration-002-code-failed,2,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Python-Flask,iteration-003-code-failed,3,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Python-Flask,iteration-004-code-failed,4,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Rust-Actix,iteration-002-code-failed,2,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,ClickCount,Go-net-http,iteration-002-code-failed,2,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,ClickCount,Python-Flask,iteration-002-code-failed,2,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,ParcelPinLockerPickup,Rust-Actix,iteration-001-code-failed,1,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,ParcelPinLockerPickup,Rust-Actix,iteration-009-code-failed,9,code,02-code,docker_build
openai-gpt-5.5-2026-04-23,Petstore,Go-net-http,iteration-006-code-failed,6,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,Petstore,Python-Flask,iteration-001-code-failed,1,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,Petstore,Python-Flask,iteration-005-code-failed,5,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,Petstore,Rust-Actix,iteration-004-code-failed,4,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,Petstore,Rust-Actix,iteration-006-code-failed,6,code,02-code,docker_build
openai-gpt-5.5-2026-04-23,Recipes,Python-Flask,iteration-002-code-failed,2,code,02-code,functional_test
openai-gpt-5.5-2026-04-23,Recipes,Python-Flask,iteration-008-code-failed,8,code,02-code,functional_test
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Go-net-http,iteration-001-code-failed,1,code,02-code,functional_test
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Go-net-http,iteration-002-code-failed,2,code,02-code,functional_test
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Go-net-http,iteration-003-code-failed,3,code,02-code,functional_test
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Go-net-http,iteration-005-code-failed,5,code,02-code,functional_test
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Go-net-http,iteration-007-code-failed,7,code,02-code,functional_test
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Python-Flask,iteration-003-code-failed,3,code,02-code,functional_test
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Rust-Actix,iteration-001-code-failed,1,code,02-code,docker_build
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Rust-Actix,iteration-002-code-failed,2,code,02-code,docker_build
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Rust-Actix,iteration-003-code-failed,3,code,02-code,docker_build
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Rust-Actix,iteration-004-code-failed,4,code,02-code,docker_build
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Rust-Actix,iteration-005-code-failed,5,code,02-code,docker_build
z-ai-glm-5.2,ClickCount,Go-net-http,iteration-006-code-failed,6,code,02-code,functional_test
z-ai-glm-5.2,ClickCount,Go-net-http,iteration-007-code-failed,7,code,02-code,functional_test
z-ai-glm-5.2,ClickCount,Python-Flask,iteration-004-spec-failed,4,spec,04-deploy,crashloop
z-ai-glm-5.2,ClickCount,Rust-Actix,iteration-001-code-failed,1,code,02-code,docker_build
z-ai-glm-5.2,ClickCount,Rust-Actix,iteration-002-code-failed,2,code,02-code,docker_build
z-ai-glm-5.2,ParcelPinLockerPickup,Go-net-http,iteration-002-spec-failed,2,spec,04-deploy,crashloop
z-ai-glm-5.2,ParcelPinLockerPickup,Go-net-http,iteration-003-spec-failed,3,spec,04-deploy,crashloop
z-ai-glm-5.2,ParcelPinLockerPickup,Rust-Actix,iteration-001-code-failed,1,code,02-code,docker_build
z-ai-glm-5.2,ParcelPinLockerPickup,Rust-Actix,iteration-004-code-failed,4,code,04-deploy,crashloop
z-ai-glm-5.2,ParcelPinLockerPickup,Rust-Actix,iteration-009-code-failed,9,code,02-code,docker_build
z-ai-glm-5.2,Petstore,Go-net-http,iteration-001-failed,1,baseline,01-decision,llm_parse
z-ai-glm-5.2,Petstore,Go-net-http,iteration-002-code-failed,2,code,02-code,functional_test
z-ai-glm-5.2,Petstore,Go-net-http,iteration-003-code-failed,3,code,02-code,functional_test
z-ai-glm-5.2,Petstore,Rust-Actix,iteration-005-spec-failed,5,spec,04-deploy,unknown
z-ai-glm-5.2,Petstore,Rust-Actix,iteration-006-spec-failed,6,spec,04-deploy,unknown
z-ai-glm-5.2,Petstore,Rust-Actix,iteration-007-code-failed,7,code,02-code,docker_build
