model,scenario,env,sample,iteration_index,iteration_id,refinement_kind,goodput_rps,delta_goodput_rps,delta_goodput_pct,recovered_from_zero
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,0,iteration-000,baseline,11661.8,,,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,1,iteration-001,spec,14272.4,2610.6,22.39,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,2,iteration-002,code,29233.5,14961.1,104.83,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,3,iteration-003,code,29833.5,600.0,2.05,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,4,iteration-004,code,29639.8,-193.7,-0.65,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,5,iteration-005,spec,31814.8,2175.0,7.34,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,6,iteration-006,code,23661.6,-8153.2,-25.63,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,7,iteration-007,code,33615.5,9953.9,42.07,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,8,iteration-008,code,35267.0,1651.5,4.91,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,10,iteration-010,code,34366.6,-900.4,-2.55,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,0,iteration-000,baseline,6176.4,,,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,1,iteration-001,code,6100.9,-75.5,-1.22,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,2,iteration-002,spec,6346.1,245.2,4.02,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,3,iteration-003,code,7493.4,1147.3,18.08,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,4,iteration-004,spec,7207.2,-286.2,-3.82,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,5,iteration-005,spec,10436.2,3229.0,44.80,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,6,iteration-006,code,10063.6,-372.6,-3.57,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,7,iteration-007,spec,9299.4,-764.2,-7.59,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,8,iteration-008,code,8845.4,-454.0,-4.88,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,9,iteration-009,spec,0.0,-8845.4,-100.00,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,10,iteration-010,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,0,iteration-000,baseline,8325.0,,,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,1,iteration-001,code,8493.1,168.1,2.02,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,2,iteration-002,code,7909.1,-584.0,-6.88,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,3,iteration-003,spec,0.0,-7909.1,-100.00,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,4,iteration-004,code,0.0,0.0,,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,5,iteration-005,spec,18980.5,18980.5,,True
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,6,iteration-006,spec,24450.8,5470.3,28.82,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,7,iteration-007,code,25327.3,876.5,3.58,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,8,iteration-008,spec,25094.3,-233.0,-0.92,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,9,iteration-009,spec,0.0,-25094.3,-100.00,False
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,10,iteration-010,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,0,iteration-000,baseline,958.2,,,False
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,1,iteration-001,code,2825.7,1867.5,194.90,False
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,2,iteration-002,code,0.0,-2825.7,-100.00,False
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,3,iteration-003,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,4,iteration-004,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,5,iteration-005,code,5643.0,5643.0,,True
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,6,iteration-006,code,0.0,-5643.0,-100.00,False
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,7,iteration-007,code,5680.7,5680.7,,True
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,8,iteration-008,code,11734.5,6053.8,106.57,False
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,9,iteration-009,spec,12531.9,797.4,6.80,False
anthropic-claude-opus-4-8,ClickCount,Go-net-http,0,10,iteration-010,code,9324.9,-3207.0,-25.59,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,0,iteration-000,baseline,0.0,,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,1,iteration-001,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,2,iteration-002,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,3,iteration-003,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,4,iteration-004,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,5,iteration-005,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,6,iteration-006,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,7,iteration-007,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,8,iteration-008,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,9,iteration-009,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Python-Flask,0,10,iteration-010,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,0,iteration-000,baseline,0.0,,,False
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,1,iteration-001,code,986.3,986.3,,True
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,2,iteration-002,spec,1049.8,63.5,6.44,False
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,3,iteration-003,code,0.0,-1049.8,-100.00,False
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,4,iteration-004,code,2906.3,2906.3,,True
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,5,iteration-005,spec,2782.4,-123.9,-4.26,False
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,6,iteration-006,code,2671.2,-111.2,-4.00,False
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,7,iteration-007,code,2897.9,226.7,8.49,False
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,8,iteration-008,code,2824.0,-73.9,-2.55,False
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,9,iteration-009,spec,2916.9,92.9,3.29,False
anthropic-claude-opus-4-8,ClickCount,Rust-Actix,0,10,iteration-010,code,2748.4,-168.5,-5.78,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,0,iteration-000,baseline,0.0,,,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,1,iteration-001,code,13531.3,13531.3,,True
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,2,iteration-002,spec,16804.6,3273.3,24.19,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,3,iteration-003,code,15294.9,-1509.7,-8.98,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,4,iteration-004,code,21593.2,6298.3,41.18,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,5,iteration-005,spec,22400.2,807.0,3.74,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,6,iteration-006,spec,22276.9,-123.3,-0.55,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,7,iteration-007,code,23016.2,739.3,3.32,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,8,iteration-008,spec,14872.1,-8144.1,-35.38,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,9,iteration-009,spec,16241.1,1369.0,9.21,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Go-net-http,0,10,iteration-010,spec,20420.3,4179.2,25.73,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,0,iteration-000,baseline,0.0,,,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,1,iteration-001,code,8994.5,8994.5,,True
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,2,iteration-002,spec,9261.6,267.1,2.97,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,3,iteration-003,spec,0.0,-9261.6,-100.00,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,4,iteration-004,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,5,iteration-005,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,6,iteration-006,code,0.0,0.0,,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,7,iteration-007,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,8,iteration-008,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,9,iteration-009,spec,9620.6,9620.6,,True
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Python-Flask,0,10,iteration-010,spec,0.0,-9620.6,-100.00,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,0,iteration-000,baseline,7820.5,,,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,1,iteration-001,code,7809.1,-11.4,-0.15,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,2,iteration-002,code,7909.2,100.1,1.28,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,3,iteration-003,spec,7032.2,-877.0,-11.09,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,4,iteration-004,code,7817.0,784.8,11.16,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,5,iteration-005,code,7692.8,-124.2,-1.59,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,6,iteration-006,spec,11637.1,3944.3,51.27,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,7,iteration-007,spec,15372.7,3735.6,32.10,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,8,iteration-008,code,15559.6,186.9,1.22,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,9,iteration-009,spec,15344.7,-214.9,-1.38,False
anthropic-claude-opus-4-8,ParcelPinLockerPickup,Rust-Actix,0,10,iteration-010,spec,15565.2,220.5,1.44,False
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,0,iteration-000,baseline,2369.8,,,False
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,1,iteration-001,spec,0.0,-2369.8,-100.00,False
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,2,iteration-002,code,33894.8,33894.8,,True
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,3,iteration-003,spec,34613.3,718.5,2.12,False
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,4,iteration-004,code,36544.9,1931.6,5.58,False
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,5,iteration-005,spec,12796.6,-23748.3,-64.98,False
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,6,iteration-006,spec,34231.6,21435.0,167.51,False
