model,scenario,env,sample,iteration_index,iteration_id,warmup_healthy,warmup_duration_s,explore_duration_s,explore_peak_goodput_rps,explore_stop_reason,explore_stop_category,recovery_attempted,recovery_duration_s,recovery_success,refine_attempted,refine_duration_s,refine_success,sustained_goodput_rps,final_stop_reason,total_duration_s,peak_sustained_gap_rps,peak_sustained_gap_pct
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,0,iteration-000-baseline,True,30.0,394.0,12479.4,"explore end (p95=1100>1000ms) peak=15153u/12479.4/s -> recovery settle attempt=1 users=11365 (75% peak, drop=5680, hold=45s)",p95-latency,True,45.0,True,True,41.0,True,11661.8,refine-goodput-stall,510.0,817.6,7.01
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,1,iteration-001-spec,True,30.0,107.0,10980.9,"explore end (goodput=10416.4<95%*peak=10431.9 (3 checks)) peak=9464u/10980.9/s -> recovery settle attempt=1 users=7098 (75% peak, drop=3139, hold=45s)",goodput-collapse,True,45.0,True,True,443.0,True,14272.4,refine-goodput-stall,625.0,-3291.5,-23.06
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,2,iteration-002-code,True,30.0,297.0,37077.5,"explore end (goodput=33768.2<95%*peak=35223.6 (3 checks)) peak=40396u/37077.5/s -> recovery settle attempt=1 users=30297 (75% peak, drop=11715, hold=45s)",goodput-collapse,True,45.0,True,True,73.0,True,29233.5,overload-peak,445.0,7844.0,26.83
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,3,iteration-003-code,True,30.0,301.0,35931.1,"explore end (p95=1200>1000ms) peak=40396u/35931.1/s -> recovery settle attempt=1 users=30297 (75% peak, drop=11715, hold=45s)",p95-latency,True,45.0,True,True,131.0,True,29833.5,refine-goodput-stall,507.0,6097.6,20.44
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,4,iteration-004-code,True,30.0,301.0,39995.6,"explore end (p95=1100>1000ms) peak=38842u/39995.6/s -> recovery settle attempt=1 users=29132 (75% peak, drop=18126, hold=45s)",p95-latency,True,45.0,True,True,49.0,True,29639.8,refine-goodput-stall,425.0,10355.8,34.94
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,5,iteration-005-spec,True,30.0,312.0,41042.1,"explore end (p95=1300>1000ms) peak=42012u/41042.1/s -> recovery settle attempt=1 users=31509 (75% peak, drop=15749, hold=45s)",p95-latency,True,45.0,True,True,63.0,True,31814.8,refine-goodput-stall,450.0,9227.3,29.00
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,6,iteration-006-code,True,30.0,347.0,29439.8,"explore end (p95=1500>1000ms) peak=33203u/29439.8/s -> recovery settle attempt=1 users=24902 (75% peak, drop=9629, hold=45s)",p95-latency,True,45.0,True,True,41.0,True,23661.6,refine-goodput-stall,463.0,5778.2,24.42
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,7,iteration-007-code,True,30.0,284.0,41939.4,"explore end (goodput=39282.3<95%*peak=39842.4 (3 checks)) peak=45440u/41939.4/s -> recovery settle attempt=1 users=34080 (75% peak, drop=13178, hold=45s)",goodput-collapse,True,46.0,True,True,41.0,True,33615.5,refine-goodput-stall,401.0,8323.9,24.76
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,8,iteration-008-code,True,30.0,251.0,43910.3,"explore end (goodput=41346.8<95%*peak=41714.8 (3 checks)) peak=43692u/43910.3/s -> recovery settle attempt=1 users=32769 (75% peak, drop=12671, hold=45s)",goodput-collapse,True,45.0,True,True,103.0,True,35267.0,refine-goodput-stall,429.0,8643.3,24.51
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Go-net-http,0,10,iteration-010-code,True,30.0,281.0,44232.9,"explore end (goodput=41783.1<95%*peak=42021.3 (3 checks)) peak=45440u/44232.9/s -> recovery settle attempt=1 users=34080 (75% peak, drop=15068, hold=45s)",goodput-collapse,True,45.0,True,True,64.0,True,34366.6,refine-goodput-stall,420.0,9866.3,28.71
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,0,iteration-000-baseline,True,30.0,387.0,6281.8,"explore end (p95=1100>1000ms) peak=9100u/6281.8/s -> recovery settle attempt=1 users=6825 (75% peak, drop=2639, hold=45s)",p95-latency,True,45.0,True,True,128.0,True,6176.4,refine-goodput-stall,590.0,105.4,1.71
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,1,iteration-001-code,True,30.0,231.0,7325.3,"explore end (p95=2100>1000ms) peak=9843u/7325.3/s -> recovery settle attempt=1 users=7382 (75% peak, drop=2855, hold=45s)",p95-latency,True,90.0,True,True,129.0,True,6100.9,refine-goodput-stall,480.0,1224.4,20.07
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,2,iteration-002-spec,True,30.0,97.0,5823.2,"explore end (goodput=5494.5<95%*peak=5532.0 (3 checks)) peak=5254u/5823.2/s -> recovery settle attempt=1 users=3940 (75% peak, drop=1743, hold=45s)",goodput-collapse,True,45.0,True,True,459.0,True,6346.1,refine-goodput-stall,631.0,-522.9,-8.24
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,3,iteration-003-code,True,30.0,204.0,9674.8,"explore end (p95=2000>1000ms) peak=11976u/9674.8/s -> recovery settle attempt=1 users=8982 (75% peak, drop=3473, hold=45s)",p95-latency,True,90.0,True,True,89.0,True,7493.4,refine-goodput-stall,413.0,2181.4,29.11
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,4,iteration-004-spec,True,30.0,208.0,9694.1,"explore end (p95=2000>1000ms) peak=11976u/9694.1/s -> recovery settle attempt=1 users=8982 (75% peak, drop=3473, hold=45s)",p95-latency,True,136.0,True,True,176.0,True,7207.2,refine-goodput-stall,550.0,2486.9,34.51
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,5,iteration-005-spec,True,30.0,228.0,12240.5,"explore end (fail%=2.2>thr=2.0) peak=15153u/12240.5/s -> recovery settle attempt=1 users=11365 (75% peak, drop=4394, hold=45s)",failure-rate,True,45.0,True,True,115.0,True,10436.2,overload-peak,418.0,1804.3,17.29
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,6,iteration-006-code,True,30.0,247.0,12680.8,"explore end (fail%=2.9>thr=2.0) peak=16389u/12680.8/s -> recovery settle attempt=1 users=12292 (75% peak, drop=4753, hold=45s)",failure-rate,True,91.0,True,True,112.0,True,10063.6,overload-peak,480.0,2617.2,26.01
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,7,iteration-007-spec,True,30.0,401.0,9242.4,"explore end (p95=1100>1000ms) peak=14010u/9242.4/s -> recovery settle attempt=1 users=10508 (75% peak, drop=4062, hold=45s)",p95-latency,True,45.0,True,True,148.0,True,9299.4,refine-goodput-stall,624.0,-57.0,-0.61
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,8,iteration-008-code,True,30.0,376.0,9314.6,"explore end (p95=1500>1000ms) peak=13471u/9314.6/s -> recovery settle attempt=1 users=10103 (75% peak, drop=3907, hold=45s)",p95-latency,True,45.0,True,True,43.0,True,8845.4,refine-goodput-stall,494.0,469.2,5.30
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,9,iteration-009-spec,True,30.0,255.0,12600.3,"explore end (p95=2000>1000ms) peak=15759u/12600.3/s -> recovery settle attempt=1 users=11819 (75% peak, drop=4570, hold=45s)",p95-latency,True,45.0,True,True,62.0,False,,overload-peak,392.0,,
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Python-Flask,0,10,iteration-010-spec,True,30.0,234.0,12600.4,"explore end (p95=2000>1000ms) peak=15759u/12600.4/s -> recovery settle attempt=1 users=11819 (75% peak, drop=3940, hold=45s)",p95-latency,True,92.0,True,True,60.0,False,,overload-peak,416.0,,
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,0,iteration-000-baseline,True,30.0,95.0,6814.5,"explore end (goodput=6456.0<95%*peak=6473.8 (3 checks)) peak=5910u/6814.5/s -> recovery settle attempt=1 users=4432 (75% peak, drop=1960, hold=45s)",goodput-collapse,True,45.0,True,True,400.0,True,8325.0,refine-goodput-stall,570.0,-1510.5,-18.14
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,1,iteration-001-code,True,30.0,114.0,8687.2,"explore end (goodput=8048.0<95%*peak=8252.8 (3 checks)) peak=8413u/8687.2/s -> recovery settle attempt=1 users=6310 (75% peak, drop=3154, hold=45s)",goodput-collapse,True,45.0,True,True,147.0,True,8493.1,refine-goodput-stall,336.0,194.1,2.29
anthropic-claude-opus-4-8,BranchWeave_InteractiveStoryGraph,Rust-Actix,0,2,iteration-002-code,True,30.0,128.0,8676.9,"explore end (goodput=7873.3<95%*peak=8243.1 (3 checks)) peak=8750u/8676.9/s -> recovery settle attempt=1 users=6562 (75% peak, drop=3675, hold=45s)",goodput-collapse,True,45.0,True,True,63.0,True,7909.1,refine-goodput-stall,266.0,767.8,9.71
